,coords_first,coords_last,full_street,street_width,bike_lane,elevation_x,elevation_y,distance,elevation_diff,steep
4688,"(40.73538167, -73.97482619)","(40.73597761, -73.97491012)",F ROOSEVELT DR,34,0,1.979127356952,2.2045574369520002,66.71641400104711,0.2254300800000002,0.0033789298087343557
4689,"(40.73538167, -73.97482619)","(40.73536872, -73.97495993)",E  23 ST,60,1,1.979127356952,9.907584179712002,11.372744653616195,7.928456822760001,0.6971454177720404
4690,"(40.73538167, -73.97482619)","(40.73542519, -73.97474901)",E  23 ST,60,1,1.979127356952,1.979127356952,8.114953758703672,0.0,0.0
4691,"(40.73539025, -73.97511055)","(40.73594647, -73.97630684)",E  23 ST,60,0,2.078729428512,1.7582388000000002,118.38948693023569,-0.32049062851199994,0.0027070868944711114
4692,"(40.73539025, -73.97511055)","(40.73481976, -73.97501905)",LOISAIDA AVE,24,0,2.078729428512,1.8349199328960002,63.973933776407826,-0.24380949561599996,0.003811075561933187
4693,"(40.73539025, -73.97511055)","(40.73536872, -73.97495993)",E  23 ST,60,1,2.078729428512,9.907584179712002,12.928928066771201,7.8288547512000015,0.6055300726222647
4694,"(40.73539114, -73.99827419)","(40.73603591, -73.99780751)",6 AVE,64,1,6.81925992,7.2029116769520005,81.86130580884493,0.38365175695200016,0.004686606854865824
4695,"(40.73539114, -73.99827419)","(40.73656324, -74.00109501)",W  11 ST,30,0,6.81925992,7.546512720000001,271.36209460766884,0.7272528000000005,0.0026800087943434085
4696,"(40.7353944, -73.97939137)","(40.73545611, -73.97956331)",CONNECTOR,30,0,3.939658914672,4.098340796952001,16.04782140066192,0.15868188228000069,0.009888063826125058
4697,"(40.7353944, -73.97939137)","(40.73553005, -73.97929118)",FIRST AVE,25,0,3.939658914672,3.714547966368,17.30447701095408,-0.22511094830400014,0.013008827031380399
4698,"(40.7353983, -73.97467193)","(40.7367949, -73.97441743)",E  RIVER ESPL,0,1,1.979127356952,2.08973928,156.94386434412016,0.11061192304799983,0.0007047865395073272
4699,"(40.7353983, -73.97467193)","(40.73542519, -73.97474901)",E  23 ST,60,1,1.979127356952,1.979127356952,7.157698994871822,0.0,0.0
